client_id,age_group,client_tier,preferred_channel,acquisition_channel,boutique_id,boutique_name,boutique_city,region,boutique_format,boutique_sales_tier,boutique_clienteling_maturity,boutique_wfj_focus_flag,boutique_digital_adoption_score,advisor_id,advisor_tenure_years,advisor_client_book_size,advisor_productivity_tier,primary_division,primary_category,secondary_category_interest,cross_category_flag,strategic_division_opportunity,last_purchase_days,purchase_frequency_12m,transaction_count_12m,total_units_12m,atv,upt,total_spend_12m,lifetime_spend,average_order_value,categories_purchased,relationship_tenure_years,high_value_client_flag,client_value_score,online_visits_90d,product_page_views_90d,fashion_page_views_90d,beauty_page_views_90d,wfj_page_views_90d,wishlist_additions_90d,high_intent_browsing_flag,app_engagement_score,last_campaign_type,campaign_sent_30d,campaign_open_30d,campaign_click_30d,campaign_conversion_30d,days_since_last_campaign,digital_campaign_click_rate,appointment_scheduled_flag,appointment_completed_flag,appointment_conversion_flag,days_since_last_appointment,appointment_count_12m,boutique_visits_12m,email_open_rate,email_opt_in_flag,sms_opt_in_flag,client_contactable_flag,preferred_contact_method,service_interaction_12m,return_or_exchange_12m,estimated_return_rate,client_satisfaction_score,service_recovery_flag,clienteling_touchpoints_90d,event_attendance_12m,advisor_follow_up_flag,repeat_purchase_probability_true,repeat_purchase_90d,estimated_clienteling_revenue,recency_score,frequency_score,monetary_score,rfm_score,engagement_score,digital_intent_score,campaign_engagement_score,service_risk_score,luxury_value_band,client_segment,recommended_action,predicted_repeat_purchase_probability,model_priority_group
C000001,35-44,Core,Boutique,Social Media,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A11,5,319,Top Performer,Fragrance & Beauty,Fragrance,Skincare,1,Scale Opportunity,259,0,0,0,0.0,0.0,0.0,0.0,265.35,1,1,0,0.7,4,12,4,14,5,0,0,35.2,Fashion Preview,1,0,0,0,5,0.293,0,0,0,999,0,3,0.28,0,0,0,Do Not Contact,1,0,0.0,90.6,0,2,0,0,0.0478,0,3.17,1,1,1,3,9.0,18.8,25.0,4.7,Entry Value,Non-Contactable Client,Do not contact directly; monitor behavior and rely on owned-channel experience.,0.0578,Low Priority
C000002,65+,Core,Online,Event,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fashion,Handbags,Shoes,1,Medium Strategic Value,135,1,1,2,3084.9,2.0,3084.9,7915.89,3084.9,2,3,0,6.25,9,45,11,2,1,0,0,17.0,Fashion Preview,1,0,0,0,14,0.081,0,0,0,999,1,0,0.428,1,1,1,Email + SMS,0,0,0.0,66.8,1,1,0,1,0.2851,0,571.78,2,1,3,6,21.7,14.2,25.0,31.6,Entry Value,Fashion-First Client,"Recommend styling appointment, new collection preview, or category expansion outreach.",0.1645,Low Priority
C000003,45-54,High Potential,Boutique,Social Media,B007,San Francisco Boutique,San Francisco,West,Fashion Boutique,Tier 2,Developing,0,78,B007_A04,5,158,Core,Fashion,Shoes,,0,Medium Strategic Value,33,5,5,8,4592.47,1.6,22962.35,76026.63,4592.47,1,3,1,9.04,5,15,14,2,0,0,0,18.3,Fragrance Launch,1,0,0,0,7,0.262,0,0,0,999,0,5,0.492,1,0,1,Email,2,1,0.2,71.8,1,1,0,0,0.6849,0,2044.63,5,5,5,15,16.0,13.0,25.0,42.9,High Value,Core Client,Maintain regular lifecycle communication and monitor for upgrade or churn signals.,0.7447,High Priority
C000004,35-44,Core,Online,Boutique Walk-In,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A13,1,130,Core,Fragrance & Beauty,Beauty Services,Fashion Entry,1,Scale Opportunity,339,2,2,3,286.04,1.5,572.08,1148.51,286.04,1,0,0,4.55,9,27,6,10,2,2,1,26.8,Welcome Journey,1,1,1,0,20,0.412,0,0,0,999,1,0,0.72,1,1,1,Email + SMS,0,0,0.0,87.2,0,2,0,0,0.115,0,32.9,1,2,2,5,27.4,45.4,80.0,6.4,Entry Value,Beauty-First Digital Client,Target with personalized beauty launch journey and digital-to-boutique conversion path.,0.0805,Low Priority
C000005,25-34,VIP,Online,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A05,4,145,Core,Fragrance & Beauty,Skincare,Skincare,1,Scale Opportunity,31,1,1,2,635.0,2.0,635.0,3504.04,635.0,3,5,1,7.97,8,40,2,14,1,0,0,46.1,No Recent Campaign,0,0,0,0,999,0.278,0,0,0,999,2,0,0.374,1,1,1,Email + SMS,4,0,0.0,96.4,0,1,2,0,0.7743,1,491.69,5,1,2,8,20.6,21.5,0.0,1.8,High Value,Core Client,Maintain regular lifecycle communication and monitor for upgrade or churn signals.,0.8128,Top Priority
C000006,25-34,New,Omnichannel,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A14,3,192,High Performer,Fragrance & Beauty,Fragrance,Skincare,1,Scale Opportunity,140,0,0,0,0.0,0.0,0.0,0.0,355.86,1,0,0,0.5,6,24,4,12,4,2,1,28.8,No Recent Campaign,0,0,0,0,999,0.263,0,0,0,999,0,0,0.624,1,1,1,Email + SMS,0,0,0.0,86.6,0,0,0,0,0.1798,0,63.97,2,1,1,4,16.7,33.6,0.0,6.7,Entry Value,New Client,"Enroll in welcome journey with brand story, service introduction, and first follow-up touchpoint.",0.1221,Low Priority
C000007,18-24,High Potential,Boutique,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A12,2,167,High Performer,Watches & Fine Jewelry,Fine Jewelry,,0,High Strategic Value,25,4,4,5,9953.96,1.25,39815.84,137549.12,9953.96,2,4,1,9.59,4,12,3,4,7,0,0,30.2,No Recent Campaign,0,0,0,0,999,0.255,0,0,0,999,1,4,0.409,1,1,1,Email + SMS,0,0,0.0,86.7,0,0,0,1,0.8325,1,8286.41,5,4,5,14,21.5,15.9,0.0,6.7,High Value,WFJ Opportunity Client,Recommend Watches & Fine Jewelry advisor follow-up and appointment consultation.,0.7915,High Priority
C000008,55-64,High Potential,Online,Social Media,B009,Washington DC Boutique,Washington DC,Northeast,Mixed Boutique,Tier 3,Emerging,0,66,B009_A03,6,160,High Performer,Fashion,Handbags,Fine Jewelry Interest,1,Medium Strategic Value,71,3,3,5,1853.06,1.67,5559.18,19914.1,1853.06,1,2,0,6.52,6,42,15,1,7,2,1,47.3,Beauty Replenishment,1,0,0,0,3,0.184,0,0,0,999,0,1,0.298,1,1,1,Email + SMS,2,1,0.333,73.8,0,2,0,0,0.5859,1,1085.74,4,3,4,11,17.3,38.7,25.0,30.2,Growth Value,Fashion-First Client,"Recommend styling appointment, new collection preview, or category expansion outreach.",0.6181,High Priority
C000009,45-54,New,Omnichannel,Social Media,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A15,4,190,Emerging,Fragrance & Beauty,Fragrance,Skincare,1,Scale Opportunity,146,2,2,5,79.72,2.5,159.44,159.44,79.72,2,1,0,3.75,10,40,1,15,0,3,1,62.3,Private Event,1,1,0,0,15,0.211,0,0,0,999,0,4,0.248,0,0,0,Do Not Contact,1,0,0.0,78.9,0,0,0,0,0.3839,0,7.65,2,2,1,5,13.3,40.2,50.0,10.6,Entry Value,Non-Contactable Client,Do not contact directly; monitor behavior and rely on owned-channel experience.,0.4231,Low Priority
C000010,45-54,Core,Omnichannel,Boutique Walk-In,B007,San Francisco Boutique,San Francisco,West,Fashion Boutique,Tier 2,Developing,0,78,B007_A11,5,226,Core,Fashion,Handbags,Fine Jewelry Interest,1,Medium Strategic Value,212,2,2,3,4997.85,1.5,9995.7,25402.38,4997.85,1,1,0,6.55,11,66,5,2,10,2,1,27.4,Fragrance Launch,1,1,0,0,9,0.41,1,1,0,91,0,6,0.569,1,0,1,Email,0,1,0.5,82.3,0,1,1,0,0.4032,0,2015.25,1,2,4,7,28.6,42.3,50.0,30.1,Core Value,Cross-Category WFJ Prospect,Introduce Watches & Fine Jewelry discovery journey based on browsing and cross-category signals.,0.3535,Low Priority
C000011,18-24,New,Omnichannel,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A10,2,220,High Performer,Fragrance & Beauty,Makeup,Handbags,1,Scale Opportunity,186,3,3,6,169.51,2.0,508.53,643.44,169.51,1,0,0,4.32,14,28,0,14,1,1,0,10.3,No Recent Campaign,0,0,0,1,999,0.356,0,0,0,999,0,3,0.212,1,0,1,Email,0,0,0.0,62.7,1,1,0,0,0.2896,0,31.91,1,3,2,6,16.0,18.8,20.0,33.7,Entry Value,Recently Converted Client,Move to post-purchase nurture journey and monitor for next best offer.,0.2295,Low Priority
C000012,65+,High Potential,Online,Boutique Walk-In,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fashion,Ready-to-Wear,,0,Medium Strategic Value,28,1,1,1,6392.49,1.0,6392.49,19715.77,6392.49,1,4,0,6.45,6,24,9,6,2,2,1,62.4,WFJ Appointment Invite,1,1,1,0,2,0.192,0,0,0,999,1,2,0.304,1,0,1,Email,0,0,0.0,78.7,0,2,0,0,0.7023,0,4489.42,5,1,4,10,25.9,46.3,80.0,10.7,Growth Value,Fashion-First Client,"Recommend styling appointment, new collection preview, or category expansion outreach.",0.7084,High Priority
